72.1	alçar#	alçar				72.0	Type=Derivation		{}

73.0	ambiguidade#	ambiguidade							{}
73.1	ambiguidades#	ambiguidades				73.0	Type=Derivation		{}

74.0	ambigüidade#	ambigüidade							{}
74.1	ambigüidades#	ambigüidades				74.0	Type=Derivation		{}

75.0	ambição#	ambição							{}
75.1	ambições#	ambições				75.0	Type=Derivation		{}

76.0	ambulância#	ambulância							{}
76.1	ambulâncias#	ambulâncias				76.0	Type=Derivation		{}

77.0	ambíguo#	ambíguo							{}
77.1	ambiguamente#	ambiguamente				77.0	Type=Derivation		{}

78.0	amedrontado#	amedrontado							{}
78.1	amedrontada#	amedrontada				78.0	Type=Derivation		{}

79.0	amendoeira#	amendoeira							{}
79.1	amendoeiras#	amendoeiras				79.0	Type=Derivation		{}

80.0	americano#	americano							{}
80.1	americanos#	americanos				80.0	Type=Derivation		{}

81.0	amido#	amido							{}
81.1	amidos#	amidos				81.0	Type=Derivation		{}

82.0	amêndoa#	amêndoa							{}
82.1	amêndoas#	amêndoas				82.0	Type=Derivation		{}

83.0	anaconda#	anaconda							{}
83.1	anacondas#	anacondas				83.0	Type=Derivation		{}

84.0	analógico#	analógico							{}
84.1	analógica#	analógica				84.0	Type=Derivation		{}
84.2	analógicas#	analógicas				84.0	Type=Derivation		{}
84.3	analógicos#	analógicos				84.0	Type=Derivation		{}

85.0	andróide#	andróide							{}
85.1	andróides#	andróides				85.0	Type=Derivation		{}

86.0	anglicismo#	anglicismo							{}
86.1	anglicizar#	anglicizar				86.0	Type=Derivation		{}

87.0	anglo#	anglo							{}
87.1	anglizar#	anglizar				87.0	Type=Derivation		{}
87.2	anglofilia#	anglofilia				87.0	Type=Derivation		{}
87.3	anglofobia#	anglofobia				87.0	Type=Derivation		{}
87.4	anglomania#	anglomania				87.0	Type=Derivation		{}
87.5	anglomaníaco#	anglomaníaco				87.0	Type=Derivation		{}
87.6	anglófilo#	anglófilo				87.0	Type=Derivation		{}
87.7	anglófobo#	anglófobo				87.0	Type=Derivation		{}

88.0	animação#	animação							{}
88.1	animações#	animações				88.0	Type=Derivation		{}

89.0	antigo#	antigo							{}
89.1	antiga#	antiga				89.0	Type=Derivation		{}
89.2	antigas#	antigas				89.0	Type=Derivation		{}
89.3	antigos#	antigos				89.0	Type=Derivation		{}

90.0	antropologia#	antropologia							{}
90.1	antropologias#	antropologias				90.0	Type=Derivation		{}

91.0	antropológico#	antropológico							{}
91.1	antropológica#	antropológica				91.0	Type=Derivation		{}

92.0	antropólogo#	antropólogo							{}
92.1	antropólogos#	antropólogos				92.0	Type=Derivation		{}

93.0	antónimo#	antónimo							{}
93.1	antonímia#	antonímia				93.0	Type=Derivation		{}

94.0	anual#	anual							{}
94.1	anualmente#	anualmente				94.0	Type=Derivation		{}

95.0	anáfora#	anáfora							{}
95.1	anáforas#	anáforas				95.0	Type=Derivation		{}

96.0	apanhar#	apanhar							{}
96.1	apanha#	apanha				96.0	Type=Derivation		{}
96.2	apanhadeira#	apanhadeira				96.0	Type=Derivation		{}
96.3	apanhado#	apanhado				96.0	Type=Derivation		{}
96.4	apanhador#	apanhador				96.0	Type=Derivation		{}

97.0	aplicar#	aplicar							{}
97.1	aplicabilidade#	aplicabilidade				97.0	Type=Derivation		{}
97.2	aplicado#	aplicado				97.0	Type=Derivation		{}
97.3	aplicador#	aplicador				97.0	Type=Derivation		{}
97.4	aplicante#	aplicante				97.0	Type=Derivation		{}
97.5	aplicativo#	aplicativo				97.0	Type=Derivation		{}
97.6	aplicação#	aplicação				97.0	Type=Derivation		{}
97.7	aplicações#	aplicações				97.6	Type=Derivation		{}
97.8	aplicável#	aplicável				97.0	Type=Derivation		{}

98.0	aprendiz#	aprendiz							{}
98.1	aprendizes#	aprendizes				98.0	Type=Derivation		{}

99.0	apresentação#	apresentação							{}
99.1	apresentações#	apresentações				99.0	Type=Derivation		{}

100.0	apóstolo#	apóstolo							{}
100.1	apostolado#	apostolado				100.0	Type=Derivation		{}
100.2	apostólico#	apostólico				100.0	Type=Derivation		{}

101.0	aquele#	aquele							{}
101.1	aquelas#	aquelas				101.0	Type=Derivation		{}
101.2	aqueles#	aqueles				101.0	Type=Derivation		{}

102.0	aqui#	aqui							{}
102.1	daqui#	daqui				102.0	Type=Derivation		{}

103.0	aquário#	aquário							{}
103.1	aquários#	aquários				103.0	Type=Derivation		{}

104.0	aquênio#	aquênio							{}
104.1	aquênios#	aquênios				104.0	Type=Derivation		{}

105.0	aranha#	aranha							{}
105.1	aranhagato#	aranhagato				105.0	Type=Derivation		{}
105.2	aranhar#	aranhar				105.0	Type=Derivation		{}
105.3	aranhaçu#	aranhaçu				105.0	Type=Derivation		{}
105.4	aranheira#	aranheira				105.0	Type=Derivation		{}
105.5	aranheiras#	aranheiras				105.4	Type=Derivation		{}
105.6	aranheiro#	aranheiro				105.0	Type=Derivation		{}
105.7	aranhense#	aranhense				105.0	Type=Derivation		{}
105.8	aranhento#	aranhento				105.0	Type=Derivation		{}
105.9	aranhiço#	aranhiço				105.0	Type=Derivation		{}
105.10	aranhol#	aranhol				105.0	Type=Derivation		{}
105.11	aranhola#	aranhola				105.0	Type=Derivation		{}
105.12	aranhoso#	aranhoso				105.0	Type=Derivation		{}
105.13	aranhota#	aranhota				105.0	Type=Derivation		{}
105.14	aranhuço#	aranhuço				105.0	Type=Derivation		{}
105.15	aranhuçu#	aranhuçu				105.0	Type=Derivation		{}
105.16	aranhão#	aranhão				105.0	Type=Derivation		{}

106.0	arbitrário#	arbitrário							{}
106.1	arbitrariamente#	arbitrariamente				106.0	Type=Derivation		{}

107.0	arcaico#	arcaico							{}
107.1	arcaizante#	arcaizante				107.0	Type=Derivation		{}
107.2	arcaísmo#	arcaísmo				107.0	Type=Derivation		{}
107.3	arcaísta#	arcaísta				107.0	Type=Derivation		{}

108.0	arco#	arco							{}
108.1	arcobotante#	arcobotante				108.0	Type=Derivation		{}

109.0	argelino#	argelino							{}
109.1	argelina#	argelina				109.0	Type=Derivation		{}
109.2	argelinas#	argelinas				109.0	Type=Derivation		{}
109.3	argelinos#	argelinos				109.0	Type=Derivation		{}

110.0	armário#	armário							{}
110.1	armários#	armários				110.0	Type=Derivation		{}

111.0	arpão#	arpão							{}
111.1	arpões#	arpões				111.0	Type=Derivation		{}

112.0	arqueiro#	arqueiro							{}
112.1	arqueiros#	arqueiros				112.0	Type=Derivation		{}

113.0	arqueológico#	arqueológico							{}
113.1	arqueológica#	arqueológica				113.0	Type=Derivation		{}
113.2	arqueológicas#	arqueológicas				113.0	Type=Derivation		{}
113.3	arqueológicos#	arqueológicos				113.0	Type=Derivation		{}

114.0	arrogante#	arrogante							{}
114.1	arrogantes#	arrogantes				114.0	Type=Derivation		{}

115.0	arroz#	arroz							{}
115.1	arrozes#	arrozes				115.0	Type=Derivation		{}

116.0	artesão#	artesão							{}
116.1	artesanal#	artesanal				116.0	Type=Derivation		{}
116.2	artesãos#	artesãos				116.0	Type=Derivation		{}

117.0	artificial#	artificial							{}
117.1	artificialmente#	artificialmente				117.0	Type=Derivation		{}

118.0	artéria#	artéria							{}
118.1	artérias#	artérias				118.0	Type=Derivation		{}

119.0	aríete#	aríete							{}
119.1	aríetes#	aríetes				119.0	Type=Derivation		{}

120.0	assimétrico#	assimétrico							{}
120.1	assimetricamente#	assimetricamente				120.0	Type=Derivation		{}

121.0	assinalado#	assinalado							{}
121.1	assinalados#	assinalados				121.0	Type=Derivation		{}

122.0	associação#	associação							{}
122.1	associações#	associações				122.0	Type=Derivation		{}

123.0	assumir#	assumir							{}
123.1	assume#	assume				123.0	Type=Derivation		{}

124.0	assumpção#	assumpção							{}
124.1	assumpções#	assumpções				124.0	Type=Derivation		{}

125.0	assunção#	assunção							{}
125.1	assunções#	assunções				125.0	Type=Derivation		{}

126.0	astrofísico#	astrofísico							{}
126.1	astrofísicos#	astrofísicos				126.0	Type=Derivation		{}

127.0	atar#	atar							{}
127.1	desatar#	desatar				127.0	Type=Derivation		{}

128.0	atento#	atento							{}
128.1	atenta#	atenta				128.0	Type=Derivation		{}

129.0	atenção#	atenção							{}
129.1	atenções#	atenções				129.0	Type=Derivation		{}

130.0	ater#	ater							{"other_parents": "130.0"}

131.0	atividade#	atividade							{}
131.1	atividades#	atividades				131.0	Type=Derivation		{}

132.0	atlas#	atlas							{"other_parents": "132.0"}

133.0	atmosférico#	atmosférico							{}
133.1	atmosfericamente#	atmosfericamente				133.0	Type=Derivation		{}

134.0	atracção#	atracção							{}
134.1	atracções#	atracções				134.0	Type=Derivation		{}

135.0	atração#	atração							{}
135.1	atrações#	atrações				135.0	Type=Derivation		{}

136.0	atributo#	atributo							{}
136.1	atributos#	atributos				136.0	Type=Derivation		{}

137.0	atriz#	atriz							{}
137.1	atrizes#	atrizes				137.0	Type=Derivation		{}

138.0	aula#	aula							{}
138.1	aulas#	aulas				138.0	Type=Derivation		{}

139.0	ausência#	ausência							{}
139.1	ausências#	ausências				139.0	Type=Derivation		{}

140.0	autocarro#	autocarro							{}
140.1	autocarros#	autocarros				140.0	Type=Derivation		{}

141.0	autômato#	autômato							{}
141.1	autômatos#	autômatos				141.0	Type=Derivation		{}

142.0	avaliação#	avaliação							{}
142.1	avaliações#	avaliações				142.0	Type=Derivation		{}

143.0	avelã#	avelã							{}
143.1	avelãs#	avelãs				143.0	Type=Derivation		{}

144.0	aventureiro#	aventureiro							{}
144.1	aventureirismo#	aventureirismo				144.0	Type=Derivation		{}

145.0	aversão#	aversão							{}
145.1	aversões#	aversões				145.0	Type=Derivation		{}

146.0	avião#	avião							{}
146.1	aviões#	aviões				146.0	Type=Derivation		{}

147.0	avó#	avó							{}
147.1	avós#	avós				147.0	Type=Derivation		{}

148.0	avô#	avô							{}
148.1	avôs#	avôs				148.0	Type=Derivation		{}

149.0	açaí#	açaí							{}
